A,B,M,N,CURRENT,dV,k,rhoa,err
13,16,14,15,0.2,0.454,0.0,71.3142,1e-06
12,17,14,15,0.2,0.130592,0.0,61.54,0.002
11,18,14,15,0.2,0.06546400000000001,0.0,61.6984,1e-06
10,19,14,15,0.2,0.045090000000000005,0.0,70.8272,1e-06
9,20,14,15,0.2,0.033724,0.0,79.4603,1e-06
8,21,14,15,0.2,0.02688,0.0,88.6683,1e-06
12,15,13,14,0.2,0.47736,0.0,74.9835,1e-06
11,16,13,14,0.2,0.13567800000000002,0.0,63.9368,1e-06
10,17,13,14,0.2,0.07257400000000001,0.0,68.3994,1e-06
9,18,13,14,0.2,0.049218000000000005,0.0,77.3115,1e-06
8,19,13,14,0.2,0.037542,0.0,88.4563,1e-06
7,20,13,14,0.2,0.03067,0.0,101.17,0.004
11,14,12,13,0.2,0.45554,0.0,71.5561,1e-06
10,15,12,13,0.2,0.142636,0.0,67.2156,1e-06
9,16,12,13,0.2,0.07539400000000002,0.0,71.0572,1e-06
8,17,12,13,0.2,0.052202000000000005,0.0,81.9987,1e-06
7,18,12,13,0.2,0.040256,0.0,94.851,1e-06
6,19,12,13,0.2,0.031646,0.0,104.39,1e-06
10,13,11,12,0.2,0.36196000000000006,0.0,56.8565,1e-06
9,14,11,12,0.2,0.11581999999999999,0.0,54.5789,1e-06
8,15,11,12,0.2,0.060392,0.0,56.9181,1e-06
7,16,11,12,0.2,0.041188,0.0,64.698,1e-06
6,17,11,12,0.2,0.031098,0.0,73.2729,1e-06
5,18,11,12,0.2,0.02484,0.0,81.939,1e-06
9,12,10,11,0.2,0.35076,0.0,55.0973,1e-06
8,13,10,11,0.2,0.11451800000000001,0.0,53.9653,1e-06
7,14,10,11,0.2,0.06224,0.0,58.6598,1e-06
6,15,10,11,0.2,0.041922,0.0,65.8509,1e-06
5,16,10,11,0.2,0.032279999999999996,0.0,76.058,1e-06
4,17,10,11,0.1,0.013275000000000002,0.0,87.5797,1e-06
8,11,9,10,0.2,0.31178,0.0,48.9743,1e-06
7,12,9,10,0.2,0.118312,0.0,55.7532,1e-06
6,13,9,10,0.2,0.06560200000000001,0.0,61.8284,1e-06
5,14,9,10,0.2,0.045068000000000004,0.0,70.7926,1e-06
4,15,9,10,0.1,0.017279,0.0,81.4254,1e-06
3,16,9,10,0.1,0.013965,0.0,92.1319,1e-06
7,10,8,9,0.2,0.42218,0.0,66.3159,1e-06
6,11,8,9,0.2,0.117956,0.0,55.5855,1e-06
5,12,8,9,0.2,0.067664,0.0,63.7718,1e-06
4,13,8,9,0.1,0.023213,0.0,72.9258,1e-06
3,14,8,9,0.1,0.017408000000000003,0.0,82.0333,1e-06
2,15,8,9,0.1,0.01348,0.0,88.9322,1e-06
6,9,7,8,0.2,0.45296000000000003,0.0,71.1508,1e-06
5,10,7,8,0.1,0.061077000000000006,0.0,57.5637,1e-06
4,11,7,8,0.1,0.032659,0.0,61.5608,1e-06
3,12,7,8,0.1,0.022785,0.0,71.5812,1e-06
2,13,7,8,0.2,0.03348,0.0,78.8854,1e-06
1,14,7,8,0.1,0.01346,0.0,88.8003,0.006
5,8,6,7,0.2,0.57016,0.0,89.5605,1e-06
4,9,6,7,0.1,0.067914,0.0,64.0074,1e-06
3,10,6,7,0.1,0.034014,0.0,64.1149,1e-06
2,11,6,7,0.2,0.045590000000000006,0.0,71.6126,1e-06
1,12,6,7,0.1,0.017703,0.0,83.4234,1e-06
4,7,5,6,0.1,0.29922,0.0,94.0027,1e-06
3,8,5,6,0.1,0.071642,0.0,67.521,1e-06
2,9,5,6,0.2,0.068892,0.0,64.9292,1e-06
1,10,5,6,0.1,0.023531,0.0,73.9248,1e-06
3,6,4,5,0.1,0.32333,0.0,101.577,1e-06
2,7,4,5,0.1,0.069697,0.0,65.6879,1e-06
1,8,4,5,0.1,0.035082999999999996,0.0,66.1299,1e-06
2,5,3,4,0.1,0.28364,0.0,89.1081,1e-06
1,6,3,4,0.1,0.07572000000000001,0.0,71.3644,1e-06
1,4,2,3,0.1,0.33044,0.0,103.811,1e-06
14,17,15,16,0.2,0.45730000000000004,0.0,71.8325,1e-06
13,18,15,16,0.2,0.139792,0.0,65.8754,1e-06
12,19,15,16,0.2,0.070078,0.0,66.047,1e-06
11,20,15,16,0.2,0.046352000000000004,0.0,72.8096,1e-06
10,21,15,16,0.2,0.03602,0.0,84.8701,0.001
9,22,15,16,0.2,0.028426000000000003,0.0,93.7681,1e-06
15,18,16,17,0.2,0.39092,0.0,61.4056,1e-06
14,19,16,17,0.2,0.128862,0.0,60.7248,1e-06
13,20,16,17,0.2,0.067542,0.0,63.6568,1e-06
12,21,16,17,0.2,0.045148,0.0,70.9183,1e-06
11,22,16,17,0.2,0.034138,0.0,80.4358,1e-06
10,23,16,17,0.2,0.027988000000000002,0.0,92.3232,1e-06
16,19,17,18,0.2,0.46306,0.0,72.7373,1e-06
15,20,17,18,0.2,0.13251200000000002,0.0,62.4448,1e-06
14,21,17,18,0.2,0.07404,0.0,69.7811,1e-06
13,22,17,18,0.2,0.050168000000000004,0.0,78.8037,1e-06
12,23,17,18,0.2,0.036958000000000005,0.0,87.0802,1e-06
11,24,17,18,0.2,0.029492000000000004,0.0,97.2844,1e-06
17,20,18,19,0.2,0.3618,0.0,56.8314,1e-06
16,21,18,19,0.2,0.127606,0.0,60.1329,1e-06
15,22,18,19,0.2,0.069486,0.0,65.489,1e-06
14,23,18,19,0.2,0.047658000000000006,0.0,74.861,1e-06
13,24,18,19,0.2,0.036,0.0,84.823,1e-06
12,25,18,19,0.2,0.028206,0.0,93.0423,1e-06
18,21,19,20,0.2,0.45324000000000003,0.0,71.1948,1e-06
17,22,19,20,0.2,0.132918,0.0,62.6361,1e-06
16,23,19,20,0.2,0.07206800000000001,0.0,67.9225,1e-06
15,24,19,20,0.2,0.05023,0.0,78.9011,1e-06
14,25,19,20,0.2,0.038214,0.0,90.0396,1e-06
13,26,19,20,0.2,0.030316,0.0,100.003,1e-06
19,22,20,21,0.2,0.35262,0.0,55.3894,1e-06
18,23,20,21,0.2,0.12447600000000002,0.0,58.6579,1e-06
